second,visitors_per_second,unique_computers,data_sent,is_attack
0,115,50,575000,0
1,96,53,480000,0
2,95,45,475000,0
3,118,54,590000,0
4,94,56,470000,0
5,102,51,510000,0
6,97,54,485000,0
7,105,59,525000,0
8,109,56,545000,0
9,80,57,400000,0
10,96,43,480000,0
11,88,53,440000,0
12,108,45,540000,0
13,77,45,385000,0
14,86,44,430000,0
15,100,43,500000,0
16,78,48,390000,0
17,106,44,530000,0
18,100,49,500000,0
19,91,43,455000,0
20,104,40,520000,0
21,103,50,515000,0
22,104,57,520000,0
23,94,42,470000,0
24,99,54,495000,0
25,107,56,535000,0
26,81,40,405000,0
27,78,52,390000,0
28,96,51,480000,0
29,97,42,485000,0
30,83,47,415000,0
31,92,52,460000,0
32,115,55,575000,0
33,96,42,480000,0
34,94,58,470000,0
35,102,57,510000,0
36,104,42,520000,0
37,81,58,405000,0
38,94,41,470000,0
39,97,40,485000,0
40,99,54,495000,0
41,91,53,455000,0
42,100,45,500000,0
43,102,45,510000,0
44,102,55,510000,0
45,114,50,570000,0
46,98,45,490000,0
47,94,54,470000,0
48,91,40,455000,0
49,98,51,490000,0
50,103,54,515000,0
51,100,55,500000,0
52,95,47,475000,0
53,88,44,440000,0
54,98,50,490000,0
55,112,48,560000,0
56,91,43,455000,0
57,115,45,575000,0
58,117,40,585000,0
59,102,46,510000,0
60,103,46,515000,0
61,109,55,545000,0
62,95,46,475000,0
63,84,40,420000,0
64,112,58,560000,0
65,111,55,555000,0
66,92,49,460000,0
67,84,51,420000,0
68,103,48,515000,0
69,97,59,485000,0
70,99,44,495000,0
71,103,47,515000,0
72,102,48,510000,0
73,98,50,490000,0
74,101,40,505000,0
75,91,55,455000,0
76,106,47,530000,0
77,105,46,525000,0
78,107,42,535000,0
79,88,58,440000,0
80,94,46,470000,0
81,110,56,550000,0
82,93,47,465000,0
83,128,54,640000,0
84,106,57,530000,0
85,99,44,495000,0
86,103,59,515000,0
87,109,43,545000,0
88,104,45,520000,0
89,107,44,535000,0
90,107,42,535000,0
91,101,59,505000,0
92,88,43,440000,0
93,97,45,485000,0
94,97,47,485000,0
95,88,54,440000,0
96,89,44,445000,0
97,105,46,525000,0
98,98,52,490000,0
99,107,55,535000,0
100,90,43,450000,0
101,101,47,505000,0
102,95,45,475000,0
103,106,55,530000,0
104,97,41,485000,0
105,85,49,425000,0
106,106,44,530000,0
107,92,52,460000,0
108,96,47,480000,0
109,98,43,490000,0
110,101,58,505000,0
111,121,42,605000,0
112,109,49,545000,0
113,113,40,565000,0
114,99,54,495000,0
115,95,49,475000,0
116,101,40,505000,0
117,85,48,425000,0
118,116,43,580000,0
119,112,49,560000,0
120,112,51,560000,0
121,111,48,555000,0
122,90,51,450000,0
123,95,41,475000,0
124,104,41,520000,0
125,81,53,405000,0
126,117,58,585000,0
127,106,44,530000,0
128,95,44,475000,0
129,112,54,560000,0
130,131,56,655000,0
131,102,52,510000,0
132,100,50,500000,0
133,85,58,425000,0
134,101,58,505000,0
135,107,42,535000,0
136,117,41,585000,0
137,107,57,535000,0
138,96,43,480000,0
139,112,43,560000,0
140,75,44,375000,0
141,101,44,505000,0
142,96,54,480000,0
143,105,41,525000,0
144,108,42,540000,0
145,95,52,475000,0
146,104,42,520000,0
147,102,54,510000,0
148,86,41,430000,0
149,102,57,510000,0
150,93,47,465000,0
151,112,47,560000,0
152,85,56,425000,0
153,93,51,465000,0
154,108,52,540000,0
155,106,53,530000,0
156,105,46,525000,0
157,90,52,450000,0
158,96,43,480000,0
159,106,55,530000,0
160,115,57,575000,0
161,102,40,510000,0
162,99,43,495000,0
163,82,54,410000,0
164,93,52,465000,0
165,95,47,475000,0
166,87,50,435000,0
167,122,48,610000,0
168,88,46,440000,0
169,107,58,535000,0
170,111,52,555000,0
171,96,50,480000,0
172,111,40,555000,0
173,102,51,510000,0
174,89,51,445000,0
175,99,54,495000,0
176,98,49,490000,0
177,97,48,485000,0
178,98,56,490000,0
179,110,47,550000,0
180,101,45,505000,0
181,116,48,580000,0
182,99,53,495000,0
183,106,45,530000,0
184,96,49,480000,0
185,118,54,590000,0
186,133,40,665000,0
187,79,52,395000,0
188,105,41,525000,0
189,102,59,510000,0
190,96,57,480000,0
191,110,45,550000,0
192,96,45,480000,0
193,90,53,450000,0
194,84,57,420000,0
195,108,51,540000,0
196,127,47,635000,0
197,120,54,600000,0
198,100,48,500000,0
199,115,44,575000,0
200,102,59,510000,0
201,98,42,490000,0
